"min","max","median","mean","std.dev","kurtosis"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
6.7,45.4,14.7,17.1258064516129,8.7460289526386,0.818146039184811
7.4,61.9,17.7,19.5096774193548,9.65942955058096,3.0514181762633
7.9,80,19.6,21.8989247311828,11.0304567943535,6.76809870190747
15,46,21,22.3655913978495,5.61981151284678,3.58448818605688
20,50,28,29.0860215053763,5.33172603176433,2.29616247963478
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,5.7,2.4,2.66774193548387,1.03736301246735,0.22649358750861
55,300,140,143.827956989247,52.3744095444384,0.902913156488479
3800,6500,5200,5280.64516129032,596.731689855181,-0.506131837986324
1320,3755,2340,2332.20430107527,496.506525180201,0.0777625117659269
NA,NA,NA,NA,NA,NA
9.2,27,16.4,16.6645161290323,3.27937047117843,-0.00874095284971377
2,8,5,5.08602150537634,1.03897853242348,0.741013469575199
141,219,183,183.204301075269,14.6023815357997,0.289723816823225
90,119,103,103.94623655914,6.81967357276605,-0.865702026790924
60,78,69,69.3763440860215,3.77898645974375,-0.35501871617463
32,45,39,38.9569892473118,3.22326454314574,-0.805227805566348
19,36,27.5,27.8296703296703,2.98907248733689,0.698413351567169
6,22,14,13.890243902439,2.99796679068478,0.360949780383553
1695,4105,3040,3072.90322580645,589.896510166718,-0.919140274588059
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
